Publication,StudyID,ES.ID,Taxon ,Invertebrate,Trait,Function,Country,Climate,Ecosystem,Design,Habitat,Site.history,Exclusion.Technique,Litter.treatment,Response.variables,Units,SS.experimental,SS.control,Std.dev.experimental,Std.dev.control,Mean.experimental,Mean.control
Bradford et al. 2007,1,1,Orgyia leucostigma,Leaf-chewing Lepidoptera,Leaf chewers,Herbivore,USA,Temperate,Woodland,Mesocosm,Plant leaf,Laboratory,Induced herbivory,Quercus rubra,Litter CN,ug ,16,16,1.96,0.96,20.3,22.3
Brennan et al. 2009,2,2,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Leaf litter,Coastal Blackbutt forest,Litter bag exclusion,Eucalyptus spp.,Litter CN,g,6,6,6.246198844,6.246198844,68.41,70.41
Buchkowski et al. 2019,3,3,Melanoplus femurrubrum,Grasshoppers,Leaf chewers,Herbivore,USA,Temperate,Grassland,Field study,Plant leaf,Old field grassland,Cage exclusion,Solidago altissima,Litter CN,g,11,11,0.25,0.65,14.4,19.9
Chapman et al. 2003,4,4,Matsucoccus acalyptus,Leaf-piercing scale,Leaf piercers,Herbivore,USA,Temperate,Woodland,Field study,Plant leaf,Semiarid herbivore woodland,Insecticide,Pinus edulis,Litter CN,g kg-1,20,20,5.94794082,12.56670203,64.24,106.18
Chapman et al. 2003,4,5,Dioryctria albovittella,Leaf-chewing Lepidoptera,Leaf chewers,Herbivore,USA,Temperate,Woodland,Field study,Plant leaf,Semiarid herbivore woodland,Insecticide,Pinus edulis,Litter CN,g kg-1,20,20,17.62021566,10.19646998,82.3,110.22
Classen et al. 2006,5,6,Macroarthropods,Moth and Scale insects,Leaf piercers,Herbivore,USA,Temperate,Woodland,Field study,Plant leaf,Semiarid herbivore woodland,Insecticide,NA,Soil CN,g,12,12,1.662768775,1.420281662,15.38,14.65
Gonzalez and Seastedt 2001,6,7,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Puerto Rico,Tropical,Woodland,Field study,Litter,Subtropical wet forest,Insecticide/physical barrier/sifting,C. scheberiana,Litter CN,g,4,4,0.6,0.8,19.7,21.3
Gonzalez and Seastedt 2001,6,8,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Puerto Rico,Tropical,Woodland,Field study,Litter,Subtropical wet forest,Insecticide/physical barrier/sifting,Q. gambelii,Litter CN,g,4,4,1.4,2.2,23.8,27.8
Gonzalez and Seastedt 2001,6,9,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Puerto Rico,Tropical,Woodland,Field study,Litter,Subtropical dry forest,Insecticide/physical barrier/sifting,Q. gambelii,Litter CN,g,4,4,2.6,3.8,28.7,26.7
Gonzalez and Seastedt 2001,6,10,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Subalpine forest,Insecticide/physical barrier/sifting,C. scheberiana,Litter CN,g,4,4,3.1,4.5,32.2,29.5
Gonzalez and Seastedt 2001,6,11,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Subalpine forest,Insecticide/physical barrier/sifting,Q. gambelii,Litter CN,g,4,4,4.7,5.4,36.7,40.2
Gonzalez and Seastedt 2001,6,12,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Puerto Rico,Tropical,Woodland,Field study,Litter,Subtropical dry forest,Insecticide/physical barrier/sifting,C. scheberiana,Litter CN,g,4,4,5,4.8,20.7,19.9
Hunter et al. 2002,7,13,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,Quercus prinus,Litter CN,g,3,3,4.962325564,4.962325564,22.03,21.686
Hunter et al. 2002,7,14,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,Liriodendron tulipifera ,Litter CN,g,3,3,6.185153434,6.185153434,12.52,13.59
Hunter et al. 2002,7,15,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Riparian forest,Litter bag exclusion,Liriodendron tulipifera ,Litter CN,g,3,3,6.185153434,6.185153434,6.585,17.158
Hunter et al. 2002,7,16,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Riparian forest,Litter bag exclusion,Quercus prinus,Litter CN,g,3,3,8.703555308,9.313237192,15.279,23.121
Hunter et al. 2002,7,17,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Deciduous forest,Litter bag exclusion,Rhododendron maximum,Litter CN,g,3,3,12.57988502,28.39870504,40.622,50.778
Hunter et al. 2002,7,18,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Riparian forest,Litter bag exclusion,Rhododendron maximum,Litter CN,g,3,3,14.50246141,3.140208114,58.758,58.395
Ibanez et al. 2013,8,19,"Chorthippus scalaris, Euthystira brachyptera",Orthoptera,Leaf chewers,Herbivore,France,Temperate,Grassland,Mesocosm,Plant leaf,Subalpine grassland,Fauna manipulation/litter bag exclusion,Dactylis glomerata,Litter CN,g,4,4,0.89037037,1.079259259,14.806,15.862
Ibanez et al. 2013,8,20,"Chorthippus scalaris, Euthystira brachyptera",Orthoptera,Leaf chewers,Herbivore,France,Temperate,Grassland,Mesocosm,Plant leaf,Subalpine grassland,Fauna manipulation/litter bag exclusion,Festuca paniculata,Litter CN,g,4,4,6.222962963,4.919259259,28.699,28.157
Joo et al. 2006,9,21,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Japan,Temperate,Woodland,Field study,Litter,Cedar plantation,Litter bag exclusion,Cryptomeria japonica,Litter CN,g,7,7,2.267408874,7.127654032,34.373,39.917
Mayer 2008,10,22,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,USA,Temperate,Woodland,Field study,Litter,Forest-grassland mix,Litter bag exclusion,Mixed litter,Litter CN,g,6,6,5.137,5.272,58.831,66.469
Schadler et al. 2004,11,23,Macro-invertebrate,Arthropod,Macro-invertebrate,Herbivore,Germany,Temperate,Grassland,Field study,Soil,Oldfield grassland,Insecticide,NA,Soil CN,g,8,8,0.545886435,0.783474314,9.542,9.817
Schadler et al. 2004,11,24,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Grassland,Field study,Soil,Oldfield grassland,Insecticide,NA,Soil CN,g,8,8,0.545886435,0.260215295,9.542,9.695
Schadler et al. 2004,11,25,Macro-invertebrate,Arthropod,Macro-invertebrate,Herbivore,Germany,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Insecticide,Lactuca serriola,Litter CN,g,8,8,3.272490183,3.272490183,35.71,34.053
Schadler et al. 2004,11,26,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Grassland,Field study,Litter,Oldfield grassland,Insecticide,Cirsium arvense,Litter CN,g,8,8,3.272490183,4.698017454,35.71,34.554
Schadler et al. 2004,11,27,Macro-invertebrate,Arthropod,Macro-invertebrate,Herbivore,Germany,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Insecticide,Cirsium arvense,Litter CN,g,8,8,8.069502587,6.561950929,33.893,37.852
